	DateTime	Comments	AIR_TEMPERATURE	AIR_TEMPERATURE_err	AIR_PRESSURE	AIR_PRESSURE_err	RAIN	RAIN_err	LIGHT_LX	LIGHT_LX_err	UV	UV_err	V1_state	V1_state_err	V2_state	V2_state_err	V3_state	V3_state_err	V4_state	V4_state_err	V5_state	V5_state_err	V6_state	V6_state_err	V7_state	V7_state_err	V8_state	V8_state_err	PUMP_PROBE_state	PUMP_PROBE_state_err	PUMP_VENTILATION_state	PUMP_VENTILATION_state_err	AIR_FLOW	AIR_FLOW_err	LATITUDE	LATITUDE_err	LONGITUDE	LONGITUDE_err	SPEED	SPEED_err	COURSE	COURSE_err	RELEY_1	RELEY_1_err	RELEY_2	RELEY_2_err	RELEY_3	RELEY_3_err	RELEY_4	RELEY_4_err	WATER_FLOW_1	WATER_FLOW_1_err	WATER_FLOW_2	WATER_FLOW_2_err	WATER_FLOW_3	WATER_FLOW_3_err	WATER_FLOW_4	WATER_FLOW_4_err	TEMP_DS1	TEMP_DS1_err	TEMP_DS2	TEMP_DS2_err	TEMP_DS3	TEMP_DS3_err	METEO_LEVEL	METEO_LEVEL_err	METEO_PRESS	METEO_PRESS_err	METEO_TIME	METEO_TIME_err	METEO_TEMP	METEO_TEMP_err	METEO_HUM	METEO_HUM_err	METEO_SOLAR	METEO_SOLAR_err	METEO_WIND_DIR	METEO_WIND_DIR_err	METEO_WIND_SPEED	METEO_WIND_SPEED_err	METEO_WIND_SPEED_MAX	METEO_WIND_SPEED_MAX_err	METEO_RAIN	METEO_RAIN_err	PICARRO_CO2	PICARRO_CO2_err	PICARRO_CH4	PICARRO_CH4_err	PICARRO_H2O	PICARRO_H2O_err	NX_B	NX_B_err	KFA_B	KFA_B_err	NX_G	NX_G_err	KFA_G	KFA_G_err	NX_R	NX_R_err	KFA_R	KFA_R_err
0	2024-03-18 22:24:00		4.61182	0.00873863	96980.0	1.79789	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.476	0.00516398	51.8997	0.0	105.064	0.0	0.11	0.0759408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.94	0.0	25.12	0.0	26.59	0.0424264	2959.67	0.0494975	725.786	0.000707107	1710770000.0	0.707107																																
6177	2024-03-20 09:00:00		8.75682	0.0396363	95774.6	1.59427	0.0	0.0	17233.0	0.0	48.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.511818	0.00390154	51.8997	6.30193e-06	105.064	5.10171e-06	0.0497143	0.0176523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.44	0.107083	5.786	0.0722957	0.0	0.0	0.0	0.0	2.338	0.0361478	0.69	0.0282843	30.328	0.0404969	2955.34	0.114971	716.983	0.00750882	1710900000.0	5.33854															432.95	0.757029	2.1647	0.191202	0.6802	0.0												
6178	2024-03-20 09:00:20		8.674	0.0336019	95774.2	1.63861	0.0	0.0	17233.0	0.0	48.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.512222	0.00420437	51.8997	5.86109e-06	105.064	5.03157e-06	0.145063	0.0732734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.613	0.073794	5.786	0.0722957	0.0	0.0	0.0	0.0	2.345	0.0368932	0.696	0.0189737	30.37	3.74489e-15	2955.21	0.103512	716.982	0.00615049	1710900000.0	6.20484															389.726		17.0672		0.6802													
6179	2024-03-20 09:00:40		8.97159	0.115617	95773.9	1.97692	0.0	0.0	17233.0	0.0	48.1591	0.369989	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.51	1.12306e-16	51.8997	6.39661e-06	105.064	0.0	0.0808125	0.0383479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.629	0.186097	5.759	0.0864677	0.0	0.0	0.0	0.0	2.317	0.0221359	0.696	0.0189737	30.375	0.0793375	2954.93	0.0914848	716.996	0.00317888	1710900000.0	5.91608															383.713		18.7651		0.6802													
6180	2024-03-20 09:01:00		9.22068	0.0299144	95771.2	1.75041	0.0	0.0	17233.0	0.0	49.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.51	1.12306e-16	51.8997	6.79568e-06	105.064	5.50774e-06	0.176929	0.077884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.733	0.110257	5.772	0.0676264	0.0	0.0	0.0	0.0	2.292	0.0289828	0.69	1.17028e-16	30.036	0.129889	2954.89	0.112943	716.997	0.00451822	1710900000.0	6.20484															383.897		17.7618		0.6802													
6181	2024-03-20 09:01:20		9.27556	0.0130655	95771.3	1.44034	0.0	0.0	17233.0	0.0	49.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.51	1.12277e-16	51.8997	4.98957e-06	105.064	3.82971e-06	0.127	0.103548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.747	0.11842	5.758	0.0590292	0.0	0.0	0.0	0.0	2.304	0.0189737	0.684	0.0340588	29.723	0.0895731	2954.88	0.194749	716.994	0.00899764	1710900000.0	5.33854															382.797	0.768201	15.6765	0.939604	0.6802	0.0												
6182	2024-03-20 09:01:40		9.33659	0.0192829	95770.3	1.44909	0.0	0.0	17339.8	399.541	49.7955	0.553196	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.510455	0.00210707	51.8997	4.83003e-06	105.064	4.80928e-06	0.134813	0.10257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.613	0.0411096	5.814	0.0722957	0.0	0.0	0.0	0.0	2.298	0.0252982	0.69	1.17028e-16	29.542	0.0404969	2955.13	0.158911	716.98	0.00743159	1710900000.0	6.20484			85.2		242.6		173.0		0.0		0.4		0.0		382.087		13.9957		0.6802													
6183	2024-03-20 09:02:00		9.40955	0.0272759	95769.6	1.81833	0.0	0.0	18693.2	399.541	50.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.510909	0.00290803	51.8997	1.24618e-05	105.064	1.03342e-05	0.191429	0.0874165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.786	0.0722957	5.745	0.077352	0.0	0.0	0.0	0.0	2.292	0.0289828	0.702	0.0252982	29.431	0.048408	2954.84	0.221342	716.984	0.00656466	1710900000.0	5.91608															381.969		13.2979		0.6802													
6184	2024-03-20 09:02:20		9.49136	0.0262006	95766.8	1.71464	0.0	0.0	18800.0	0.0	50.5778	0.543093	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.512	0.0040452	51.8997	1.77404e-05	105.064	8.69584e-06	0.180765	0.112854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.718	0.0759825	5.786	0.0722957	0.0	0.0	0.0	0.0	2.28	0.0316228	0.69	0.0282843	29.377	0.0221359	2954.52	0.171303	716.987	0.0027954	1710900000.0	6.20484															381.237		12.858		0.6802													
6185	2024-03-20 09:02:40		9.64568	0.0733072	95766.9	1.64069	0.0	0.0	18800.0	0.0	51.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.516818	0.00471155	51.8997	7.04948e-06	105.064	1.59365e-05	0.179867	0.112453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.907	0.110559	5.8	0.0737865	0.0	0.0	0.0	0.0	2.299	0.0401248	0.69	1.17028e-16	29.359	0.0401248	2954.59	0.140607	716.988	0.00566868	1710900000.0	5.33854															380.981		12.563		0.6802													
