  дата    время     T    Vh  Fi    vx     vy     vz      P     Hu
01.06.2022 18:04:54 9.068 0.459 286.8 -0.131 -0.435 0.038 713.1 67.3
01.06.2022 18:05:54 9.285 0.380 270.0 0.010 -0.376 -0.005 712.9 67.3
01.06.2022 18:06:54 9.379 0.446 274.8 -0.037 -0.443 -0.019 712.9 67.8
01.06.2022 18:07:54 9.278 0.479 294.2 -0.192 -0.427 0.076 712.9 67.7
01.06.2022 18:08:54 9.007 0.945 312.6 -0.638 -0.694 0.194 712.9 69.0
01.06.2022 18:09:54 9.195 0.822 308.5 -0.511 -0.643 0.208 712.9 71.5
01.06.2022 18:10:55 9.176 0.692 287.3 -0.205 -0.658 0.209 712.9 72.0
01.06.2022 18:11:55 8.888 1.290 279.9 -0.221 -1.271 0.459 712.9 72.7
01.06.2022 18:12:55 8.739 1.241 282.0 -0.257 -1.214 0.409 712.9 74.2
01.06.2022 18:13:55 9.197 0.916 275.1 -0.081 -0.909 0.290 712.9 75.2
01.06.2022 18:14:55 9.219 0.718 276.0 -0.075 -0.709 0.187 712.9 75.5
01.06.2022 18:15:55 8.803 0.532 266.4 0.033 -0.524 0.056 712.9 75.0
01.06.2022 18:16:55 10.430 0.206 123.0 0.074 0.114 -0.162 712.9 74.4
01.06.2022 18:17:55 10.408 0.372 101.7 0.061 0.294 -0.084 712.9 72.8
01.06.2022 18:18:56 9.465 0.238 29.0 -0.047 0.026 -0.055 712.9 71.1
01.06.2022 18:19:56 8.882 0.716 61.1 -0.343 0.623 -0.136 712.9 70.0
01.06.2022 18:20:56 8.536 1.546 43.7 -1.113 1.064 -0.207 712.8 70.0
01.06.2022 18:21:56 9.093 1.275 29.9 -1.078 0.620 -0.128 712.8 72.8
01.06.2022 18:22:56 9.918 0.924 353.3 -0.883 -0.104 0.032 712.8 72.9
01.06.2022 18:23:56 10.268 0.933 258.9 0.148 -0.755 0.155 712.8 72.6
01.06.2022 18:24:56 9.293 1.278 229.3 0.832 -0.968 0.355 712.8 72.6
01.06.2022 18:25:57 8.954 1.252 233.0 0.747 -0.990 0.254 712.8 73.8
01.06.2022 18:26:57 8.609 1.683 234.0 0.987 -1.360 0.534 712.8 75.4
01.06.2022 18:27:57 8.532 1.558 244.3 0.674 -1.401 0.494 712.8 77.7
01.06.2022 18:28:57 8.061 1.723 247.8 0.648 -1.586 0.677 712.8 78.7
01.06.2022 18:29:57 8.762 1.740 261.2 0.264 -1.710 0.774 712.7 81.5
01.06.2022 18:30:57 8.290 1.833 257.5 0.395 -1.786 0.664 712.8 82.8
01.06.2022 18:31:57 8.450 1.746 269.7 0.011 -1.741 0.561 712.7 84.1
01.06.2022 18:32:57 8.626 1.567 274.4 -0.119 -1.561 0.640 712.7 84.9
01.06.2022 18:33:58 8.176 1.689 261.3 0.254 -1.663 0.608 712.8 84.6
01.06.2022 18:34:58 8.524 1.327 264.1 0.137 -1.317 0.296 712.7 85.1
01.06.2022 18:35:58 8.166 1.088 254.6 0.285 -1.033 0.139 712.7 85.0
01.06.2022 18:36:58 7.693 0.975 229.4 0.600 -0.700 0.059 712.8 83.8
01.06.2022 18:37:58 7.776 0.944 220.3 0.699 -0.593 0.038 712.8 83.8
01.06.2022 18:38:58 7.929 0.725 197.9 0.662 -0.214 -0.035 712.8 84.2
01.06.2022 18:39:58 8.238 0.856 175.5 0.843 0.067 -0.198 712.9 83.4
01.06.2022 18:40:58 8.218 0.853 192.3 0.829 -0.180 -0.055 712.9 83.6
01.06.2022 18:41:59 8.621 0.533 188.1 0.522 -0.074 -0.058 712.9 83.6
01.06.2022 18:42:59 9.292 0.225 90.0 0.004 0.026 0.207 712.9 83.4
01.06.2022 18:43:59 9.271 0.200 90.0 -0.006 0.153 0.034 712.9 83.0
01.06.2022 18:44:59 9.021 0.187 270.0 0.009 -0.024 0.035 712.9 82.4
01.06.2022 18:45:59 8.994 0.318 277.5 -0.041 -0.311 -0.054 712.9 81.8
01.06.2022 18:46:59 8.706 0.602 273.5 -0.037 -0.600 0.145 712.9 81.6
01.06.2022 18:47:59 8.298 0.812 271.3 -0.018 -0.810 0.406 712.9 81.8
01.06.2022 18:48:59 8.095 0.512 293.3 -0.198 -0.460 0.243 712.9 83.3
01.06.2022 18:50:00 6.802 0.357 41.3 -0.198 0.175 -0.133 712.9 80.9
01.06.2022 18:51:00 7.233 0.399 79.3 -0.071 0.378 -0.172 712.9 80.3
01.06.2022 18:52:00 8.196 0.253 352.3 -0.145 -0.020 0.001 712.9 82.3
01.06.2022 18:53:00 7.651 0.403 257.4 0.086 -0.386 0.008 712.9 81.6
01.06.2022 18:54:00 8.319 0.535 314.2 -0.355 -0.365 -0.002 712.9 82.3
01.06.2022 18:55:00 8.264 0.677 312.1 -0.454 -0.501 0.114 712.8 83.8
01.06.2022 18:56:00 8.188 0.382 302.3 -0.199 -0.315 0.049 712.9 84.0
01.06.2022 18:57:00 8.008 0.353 283.1 -0.080 -0.343 0.020 712.9 83.4
01.06.2022 18:58:01 7.931 0.217 286.0 -0.058 -0.201 -0.051 712.9 82.9
01.06.2022 18:59:01 7.898 0.281 256.9 0.060 -0.260 -0.061 712.9 82.1
01.06.2022 19:00:01 8.453 0.453 246.1 0.178 -0.402 -0.042 712.9 82.2
01.06.2022 19:01:01 8.620 0.658 249.6 0.218 -0.587 0.023 712.9 82.6
01.06.2022 19:02:01 8.257 0.698 208.4 0.610 -0.330 0.011 712.9 82.0
01.06.2022 19:03:01 8.235 0.614 203.7 0.555 -0.244 -0.010 712.9 82.0
01.06.2022 19:04:01 8.408 0.767 205.1 0.690 -0.324 -0.112 712.9 82.7
01.06.2022 19:05:01 8.509 0.718 209.8 0.619 -0.355 -0.082 712.9 82.8
01.06.2022 19:06:02 9.017 0.611 198.7 0.574 -0.195 -0.113 712.9 83.4
01.06.2022 19:07:02 9.504 0.283 196.4 0.258 -0.076 0.021 712.9 83.4
01.06.2022 19:08:02 9.055 0.194 90.0 -0.004 0.127 0.030 712.9 82.0
01.06.2022 19:09:02 9.495 0.393 122.0 0.193 0.309 -0.027 712.9 81.5
01.06.2022 19:10:02 10.222 0.388 115.3 0.153 0.324 -0.081 712.9 81.7
01.06.2022 19:11:02 10.363 0.377 115.1 0.142 0.304 0.055 712.9 81.4
01.06.2022 19:12:02 10.078 0.209 196.8 0.049 -0.015 0.069 712.9 80.6
01.06.2022 19:13:02 10.162 0.296 197.6 0.247 -0.078 0.066 712.9 80.0
01.06.2022 19:14:03 10.365 0.221 220.2 0.126 -0.106 0.136 712.8 79.6
01.06.2022 19:15:03 10.101 0.237 234.4 0.111 -0.155 0.015 712.8 78.6
01.06.2022 19:16:03 10.104 0.230 206.4 0.192 -0.096 -0.037 712.8 77.4
01.06.2022 19:17:03 10.207 0.250 207.1 0.206 -0.105 0.003 712.7 77.0
